param, seed, node, throughput_bits, throughput_packets, loss_rate, collision_rate
0.0489130434783, 3, 3, 1557732.27018, 81.1833333333, 0.0, 0.0246295554666
0.0489130434783, 3, 4, 3742389.03311, 196.583333333, 0.0, 0.0395733246478
0.0489130434783, 3, 5, 3739764.67434, 196.883333333, 0.0, 0.0452598399741
0.0489130434783, 3, 6, 1557746.24992, 81.7166666667, 0.0, 0.0
0.0489130434783, 3, 7, 750335.522906, 40.4166666667, 0.0, 0.0
0.0489130434783, 3, 8, 2974461.16532, 157.533333333, 0.0, 0.0345250255363
0.0489130434783, 3, 9, 790444.783879, 41.35, 0.0, 0.0
0.0489130434783, 4, 0, 3036554.28896, 159.566666667, 0.0, 0.0223629122843
0.0489130434783, 4, 1, 1507383.18145, 79.6666666667, 0.0, 0.0266748116473
0.0489130434783, 4, 2, 3029414.22478, 159.95, 0.0, 0.011433868974
0.0489130434783, 4, 3, 1510672.36812, 79.95, 0.0, 0.0259898477157
0.0489130434783, 4, 4, 3728413.70495, 196.9, 0.0, 0.0342516144854
0.0489130434783, 4, 5, 3683268.35267, 193.316666667, 0.0, 0.0511289267016
0.0489130434783, 4, 6, 1531465.82238, 80.5, 0.0, 0.0
0.0489130434783, 4, 7, 768661.468797, 40.3333333333, 0.0, 0.0
0.0489130434783, 4, 8, 2968536.2932, 155.883333333, 0.0, 0.0383508122558
0.0489130434783, 4, 9, 797908.2509, 41.2833333333, 0.0, 0.0
0.0489130434783, 5, 0, 3065577.08652, 160.65, 0.0, 0.0230083113724
0.0489130434783, 5, 1, 1539437.09011, 80.1833333333, 0.0, 0.0211597151577
0.0489130434783, 5, 2, 3087449.39294, 162.266666667, 0.0, 0.010971149939
0.0489130434783, 5, 3, 1496933.34277, 78.8666666667, 0.0, 0.0239273927393
0.0489130434783, 5, 4, 3727388.77764, 197.15, 0.0, 0.0356269362465
0.0489130434783, 5, 5, 3688947.8089, 195.066666667, 0.0, 0.0462065031375
0.0489130434783, 5, 6, 1579050.31915, 82.5333333333, 0.0, 0.0
0.0489130434783, 5, 7, 765864.263639, 40.0666666667, 0.0, 0.0
0.0489130434783, 5, 8, 3009469.38393, 158.2, 0.0, 0.03182374541
0.0489130434783, 5, 9, 787334.079878, 41.1, 0.0, 0.0
0.0489130434783, 6, 0, 3018797.38583, 160.083333333, 0.0, 0.0221928127863
0.0489130434783, 6, 1, 1490074.93794, 79.05, 0.0, 0.0252774352651
0.0489130434783, 6, 2, 3068011.33663, 161.316666667, 0.0, 0.0120445034194
0.0489130434783, 6, 3, 1503544.6034, 79.35, 0.0, 0.0241852838696
0.0489130434783, 6, 4, 3723372.64803, 196.583333333, 0.0, 0.0358836030734
0.0489130434783, 6, 5, 3687814.09934, 195.5, 0.0, 0.0464965046334
0.0489130434783, 6, 6, 1583801.96566, 82.5166666667, 0.0, 0.0
0.0489130434783, 6, 7, 781605.54669, 41.1666666667, 0.0, 0.0
